type;full name;name;director;address;phone number;site
Областные центры дополнительного образования;государственное бюджетное учреждение дополнительного образования Ростовской области «Региональный центр выявления и поддержки одаренных детей «Ступени успеха»;"ГБУ ДО РО ""Ступени успеха""";Воронина Елизавета Анатольевна;344002, г. Ростов-на-Дону, ул. Тургеневская, 48а/14;8(863)-240-70-02;http://stupeni-uspeha.ru/
Областные центры дополнительного образования;государственное бюджетное учреждение дополнительного образования Ростовской области Областной экологический центр учащихся;ГБУ РО РМЦДОД;Ларионова Наталья Викторовна;344023 г. Ростов-на-Дону, пр. Ленина, 243;8(863) 308-91-01;http://ecocenter-rostov.ru/
Областные центры дополнительного образования;Государственное образовательное учреждение дополнительного образования детей Областной центр технического творчества учащихся;ГБУ ДО РО ОЦТТУ;Коц Анатолий Александрович;344019 г. Ростов-на-Дону, ул. В.Закруткина, 67;863-251-22-81;http://www.untehdon.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Каменск-Шахтинская школа-интернат»;ГБОУ РО «Каменск-Шахтинская школа-интернат»;Пискунова Галина александровна;ул. Пивоварова, 16, г. Каменск-Шахтинский, Ростовская область, 347800;(86365)-4-04-96, (86365)-4-28-07;http://boarding-school2.ru
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Неклиновская школа-интернат с первоначальной летной подготовкой им. Четвертой Краснознаменной Воздушной Армии»;ГБОУ РО «Неклиновская школа-интернат с первоначальной летной подготовкой им. Четвертой Краснознаменной Воздушной Армии»;Гольдберг Леонид Исаакович;346840,Ростовская область,Неклиновский район,с. Николаевка ,Юго-Восточная территория;8(8634) 60-39-98;http://www.noshisplp.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Новочеркасская школа-интернат»;ГБОУ РО «Новочеркасская школа-интернат»;Новикова Наталья Петровна;ул. Дубовского, 38, г.Новочеркасск, 346400;(86352)-2-71-99, (86352)-4-62-01;http://новочеркасск-интернат.рф/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Новошахтинская школа-интернат»;ГБОУ РО Новошахтинская школа-интернат;Аверьянова Светлана Юрьевна;346900 Россия, Ростовская область,  г. Новошахтинск,  ул. Харьковская,  8а;8(86369) 2-38-58;http://schol-internat.ucoz.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Ростовская-на-Дону школа-интернат музыкантских воспитанников»;ГБОУ РО «Ростовская-на-Дону школа-интернат музыкантских воспитанников»;Плетнева Наталья Юрьевна;Российская Федерация, 344025, Ростовская обл, г. Ростов-на-Дону, пл. Толстого, 3-5;+7(863)251-09-63;http://shmv63.ru
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Семичанская школа-интернат» Дубовского района;ГБОУ РО «Семичанская школа-интернат» Дубовского района;Чопурян Наталья Николаевна;347400, ул. Ленина 1  х. Семичный, Дубовский район, Ростовская область;(86377)-54-4-07;http://www.semich-shk-int.znaet.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Таганрогский педагогический лицей-интернат»;ГБОУ РО «Таганрогский педагогический лицей-интернат»;Кочеткова Ольга Аркадьевна;ул.Комарова, 30, г.Таганрог, 347913;(86343)-3-16-11;http://tagpedlicey.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Цимлянская школа-интернат»;ГБОУ РО «Цимлянская школа-интернат»;Кочергина Любовь Анатольевна;ул.К.Маркса, 10, г.Цимлянск, 347320;(86391)-2-13-98, (86391)-2-25-19;http://cimlinter.ucoz.ru/
Общеобразовательные школы-интернаты;Государственное бюджетное общеобразовательное учреждение Ростовской области «Шолоховская школа-интернат»;ГБОУ РО «Шолоховская школа-интернат»;Попов Николай Анатольевич; 347022, Ростовская область, Белокалитвинский район,р.п.Шолоховский, ул. М.Горького,1;(86383)-5-43-18, (86383)-5-43-35;http://шолоховский-интернат.рф
Организация дополнительного профессионального образования;Государственноe бюджетноe учреждениe дополнительного профессионального образования Ростовской области «Ростовский институт повышения квалификации и профессиональной переподготовки работников образования»;ГБУ ДПО РО РИПК и ППРО;Хлебунова Сарра Федоровна;344011 г. Ростов-на-Дону, пер. Гвардейский, 2/51;863-267-56-00;http://ripkro.ru
Профессиональная образовательная организация;Государственное автономное профессиональное образовательное учреждение Ростовской области «Батайское профессиональное училище № 108»;ГАПОУ РО «Батайское профессиональное училище № 108»;Зайцев Виталий Петрович;346880, Ростовская область,Г. Батайск, ул.Вильямса, 2а;8-(86354)7-05-34;http://pu108.ru/
Профессиональная образовательная организация;Государственное автономное профессиональное образовательное учреждение Ростовской области «Донской банковский колледж»;ГАПОУ РО «Донской банковский колледж»;Джегунцов Артем Николаевич;344037, г. Ростов-на-Дону, пл. Базарная, дом 4,;"+7 (863)283-14-48; (863)283-14-42; (863)223-62-24";http://gaudbt.ru/
Профессиональная образовательная организация;Государственное автономное профессиональное образовательное учреждение Ростовской области «Ростовский колледж рекламы, сервиса и туризма «Сократ»; ГАПОУ РО «Ростовский колледж рекламы, сервиса и туризма «Сократ»;Ковалев Алексей Юрьевич;344006,г. Ростов-на-Дону, ул. Социалистическая, 126,;"(863)263-71-99;263-44-82";http://sokrat-r.ru
Профессиональная образовательная организация;"Государственное бюджетное профессиональное образовательное учреждение ""Ростовский индустриально-полиграфический техникум""";": ГБПОУ РО ""РИПТ""";Вигера Анна Михайловна;"344111, Ростовская область, г. Ростов-на-Дону, 
пр.40-летия Победы, 95";"(863)257-44-98;(863)269-14-92";http://ript-rnd.ru
Профессиональная образовательная организация;"государственное бюджетное профессиональное образовательное учреждение Ростовской области ""Каргинский аграрно-технологический техникум"" имени В.Е. Теплухина";ГБПОУ РО «КАТТ»;Ганнова Оксана Анатольевна;346240, Ростовская область, Боковский район, ст. Каргинская, ул. Совхозная, 15;"8-(86382)3-48-39;";http://pu96kargin.ru/
Профессиональная образовательная организация;"Государственное бюджетное профессиональное образовательное учреждение Ростовской области ""Миллеровский техникум агропромышленных технологий и управления (ДСХТ)""";"ГБПОУ  РО ""МТАТиУ (ДСХТ)""";Курман Николай Викторович;346131, Ростовская область, Миллеровский район, г. Миллерово, ул.квартал ДСХТ 29, корпус 1;(86385)2-85-71, факс: (86385)2 -85-70,;http://www.дсхт.рф
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Азовский гуманитарно-технический колледж»;ГБПОУ РО «Азовский гуманитарно-технический колледж»;Мацынин Сергей Николаевич;346780 Ростовская область, г. Азов, ул. Мира, 41;(86342)4-01-33;http://agtk-azov.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Азовское профессиональное училище № 45»;ГБПОУ РО «Азовское профессиональное училище № 45»;Петров Андрей Александрович;346780, Ростовская область, г. Азов, проезд Литейный, 9/22.;8-(86342) 6-71-21;http://pu45-azov.ru/
Профессиональная образовательная организация;государственное бюджетное профессиональное образовательное учреждение Ростовской области «Аксайский технологический техникум»;ГБПОУ РО «Аксайский технологический техникум»;Боровков Сергей Борисович;346720, Ростовская область, Аксайский район, г. Аксай, ул. Шевченко, 156;8-(86350)5-45-66;http://att-aksay.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Аксайское профессиональное училище № 56»;ГБПОУ РО ПУ № 56;Босова Татьяна Васильевна;346720, Ростовская область г. Аксай, ул. Шолохова, 4;8-(86350)5-52-48;http://aksay-pu56.gauro-riacro.ru
